,,,,,,,,,,,,,,,,,,
,,,,,Loading Unit Time Profile,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Report Created On:,,,,,10-08-2026
,Parameters:,,,,,,,,,Description:,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,This report contains a spreadsheet of all the status that a specified loading unit has incurred for the specified time period.,,,,,,,,
,,Start Shift Date:,,,01-07-2026,,,,,,,,,,,,,
,,End Shift Date:,,,31-07-2026,,,,,,,,,,,,,
,,Loader:,,,EX001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IsDst:,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,01-07-2026,,,,,,,,,,,,,,,,,
,Timestamp,,,,,Status Code,,Sub-Status Code,,,,"Duration
(min)",,,Hauling Unit,,,
,01-07-2026,,,,,Shift Change,,,,,,38.52,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,6.05,,,RD244,,,
,01-07-2026,,,,,Waiting,,,,,,1.25,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,3.72,,,RD228,,,
,01-07-2026,,,,,Waiting,,,,,,1.47,,,RD240,,,
,01-07-2026,,,,,Spotting,,,,,,3.42,,,RD240,,,
,01-07-2026,,,,,LU Loading,,,,,,12.08,,,RD240,,,
,01-07-2026,,,,,Waiting,,,,,,1.32,,,RD141,,,
,01-07-2026,,,,,LU Loading,,,,,,3.32,,,RD141,,,
,01-07-2026,,,,,Waiting,,,,,,1.52,,,RD227,,,
,01-07-2026,,,,,LU Loading,,,,,,2.98,,,RD227,,,
,01-07-2026,,,,,Waiting,,,,,,1.5,,,RD126,,,
,01-07-2026,,,,,LU Loading,,,,,,2.8,,,RD126,,,
,01-07-2026,,,,,Waiting,,,,,,0.7,,,RD226,,,
,01-07-2026,,,,,LU Loading,,,,,,3.53,,,RD226,,,
,01-07-2026,,,,,Spotting,,,,,,0.25,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,3.52,,,RD244,,,
,01-07-2026,,,,,Spotting,,,,,,0.2,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,2.97,,,RD228,,,
,01-07-2026,,,,,Waiting,,,,,,1.33,,,RD141,,,
,01-07-2026,,,,,LU Loading,,,,,,2.47,,,RD141,,,
,01-07-2026,,,,,Waiting,,,,,,7.72,,,RD240,,,
,01-07-2026,,,,,LU Loading,,,,,,2.83,,,RD240,,,
