,,,,,,,,,,,,,,,,,,
,,,,,Loading Unit Time Profile,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Report Created On:,,,,,10-08-2026
,Parameters:,,,,,,,,,Description:,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,This report contains a spreadsheet of all the status that a specified loading unit has incurred for the specified time period.,,,,,,,,
,,Start Shift Date:,,,01-07-2026,,,,,,,,,,,,,
,,End Shift Date:,,,31-07-2026,,,,,,,,,,,,,
,,Loader:,,,EX007,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IsDst:,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,01-07-2026,,,,,,,,,,,,,,,,,
,Timestamp,,,,,Status Code,,Sub-Status Code,,,,"Duration
(min)",,,Hauling Unit,,,
,01-07-2026,,,,,Shift Change,,,,,,29.6,,,RD252,,,
,01-07-2026,,,,,LU Loading,,,,,,2.43,,,RD252,,,
,01-07-2026,,,,,Waiting,,,,,,0.15,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.73,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.42,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.53,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.82,,,RD242,,,
,01-07-2026,,,,,Spotting,,,,,,0.5,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,5.48,,,RD250,,,
,01-07-2026,,,,,Waiting,,,,,,7.87,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,1.02,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.33,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.17,,,RD252,,,
,01-07-2026,,,,,Spotting,,,,,,0.33,,,RD252,,,
,01-07-2026,,,,,LU Loading,,,,,,2.28,,,RD252,,,
,01-07-2026,,,,,Waiting,,,,,,0.68,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,3.2,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.32,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.97,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,6.1,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.85,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,3.05,,,RD252,,,
