textbox1,textbox19,textbox20,textbox36,textbox27,textbox14,textbox12,textbox15,textbox13,textbox7,textbox9,textbox8898,textbox10768,textbox26
"Time by Status Category, Fleet, and Equipment",Report Created On:,10-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,Equipment:,All,Fleet:,All,This report contains a spreadsheet showing the time that each piece of equipment spends in various status categories for the specified time period.  This report is grouped by fleet.

Act Duration_label,Act Duration_Chart2_CategoryGroup_label,Act Duration_Chart2_CategoryGroup_Chart2_CategoryGroup1_label,Act Duration_Chart2_CategoryGroup_Chart2_CategoryGroup1_Value_Y
Act Duration,F01,DELAY,6757.1615929166666664230
Act Duration,F01,DOWN,5997.3588759499999999404
Act Duration,F01,GOH,27473.2538180333333320043
Act Duration,F01,NOH,20413.1447267499999989244
Act Duration,F01,STANDBY,308.8122205333333333233
Act Duration,F02,DELAY,1035.2183230499999999690
Act Duration,F02,DOWN,4543.3686082333333333223
Act Duration,F02,GOH,2894.5611266333333331723
Act Duration,F02,NOH,1671.9833596666666665391
Act Duration,F02,STANDBY,189.3236105499999999973
Act Duration,F03,DELAY,1159.4805442833333332981
Act Duration,F03,DOWN,1077.2577757833333333247
Act Duration,F03,GOH,4130.7032042666666664646
Act Duration,F03,NOH,2916.7554379499999998344
Act Duration,F03,STANDBY,54.5049997999999999987
Act Duration,F04,DELAY,734.9619374666666666430
Act Duration,F04,DOWN,1803.5394427666666666581
Act Duration,F04,GOH,4143.9278861999999998799
Act Duration,F04,NOH,1436.2006727499999999122
Act Duration,F04,STANDBY,1977.2977759666666666580
Act Duration,F06,DELAY,392.0611064333333333161
Act Duration,F06,DOWN,669.1083324999999999963
Act Duration,F06,GOH,1507.3960342166666666221
Act Duration,F06,NOH,942.3093726999999999746
Act Duration,F06,STANDBY,189.2938882833333333306
Act Duration,F07,DELAY,219.3533311499999999910
Act Duration,F07,DOWN,518.6347213666666666639
Act Duration,F07,GOH,908.1718746499999999764
Act Duration,F07,NOH,574.5743770833333333195
Act Duration,F07,STANDBY,126.7758330499999999990
Act Duration,F08,DELAY,144.7858313999999999937
Act Duration,F08,DOWN,79.2388886666666666656
Act Duration,F08,GOH,646.2682652166666666502
Act Duration,F08,NOH,488.1268782833333333234
Act Duration,F08,STANDBY,13.8411110833333333331
Act Duration,F09,DELAY,264.9605527499999999895
Act Duration,F09,DOWN,282.8899993499999999976
Act Duration,F09,GOH,1134.5665649999999999716
Act Duration,F09,NOH,845.2462901166666666492
Act Duration,F09,STANDBY,25.5599998666666666661
Act Duration,F11,DELAY,287.4511079499999999870
Act Duration,F11,DOWN,328.8008328166666666640
Act Duration,F11,GOH,1099.4671710666666666365
Act Duration,F11,NOH,555.5638413833333333184
Act Duration,F11,STANDBY,316.1841660499999999968
Act Duration,F17,DELAY,685.8838816999999999734
Act Duration,F17,DOWN,583.7791658333333333287
Act Duration,F17,GOH,2996.4636050666666665958
Act Duration,F17,NOH,2213.9952791666666666237
Act Duration,F17,STANDBY,98.1958330499999999985
Act Duration,F18,DELAY,219.8041642999999999904
Act Duration,F18,DOWN,322.4211107666666666656
Act Duration,F18,GOH,1160.7538154833333333073
Act Duration,F18,NOH,669.4990960499999999856
Act Duration,F18,STANDBY,272.7263884499999999979

firstDayWeek3,textbox53,textbox54,textbox51,Textbox37,Textbox28,Textbox33,Textbox38,EQUIP_IDENT,Textbox41,delay,down,standby,goh,noh,duration,Textbox55,Textbox56,Textbox57,Textbox58,Textbox59,Textbox61,Textbox64,delay1,down1,standby1,goh1,noh1,Textbox82,Textbox84,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD208,Hours,160.94,103.81,0.11,640.19,479.14,744.00,Percent,21.6%,14.0%,0.0%,86.0%,64.4%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD209,Hours,173.85,86.12,1.78,657.88,482.25,744.00,Percent,23.4%,11.6%,0.2%,88.4%,64.8%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD210,Hours,53.71,515.62,3.27,228.09,171.40,744.00,Percent,7.2%,69.3%,0.4%,30.7%,23.0%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD211,Hours,164.68,132.90,2.92,611.10,443.51,744.00,Percent,22.1%,17.9%,0.4%,82.1%,59.6%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD212,Hours,170.14,109.75,2.20,634.25,461.90,744.00,Percent,22.9%,14.8%,0.3%,85.2%,62.1%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD214,Hours,105.79,337.66,2.84,406.23,297.61,743.90,Percent,14.2%,45.4%,0.4%,54.6%,40.0%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD215,Hours,166.31,82.31,0.05,661.69,495.33,744.00,Percent,22.4%,11.1%,0.0%,88.9%,66.6%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD216,Hours,169.82,28.31,0.22,715.66,545.61,743.97,Percent,22.8%,3.8%,0.0%,96.2%,73.3%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD217,Hours,191.47,44.82,4.83,699.18,502.88,744.00,Percent,25.7%,6.0%,0.6%,94.0%,67.6%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
F01-KOMATSU HD785-7,Equipment,Delay,Down,Standby,GOH,NOH,Total Hours,RD218,Hours,131.64,261.19,0.04,482.81,351.13,744.00,Percent,17.7%,35.1%,0.0%,64.9%,47.2%,100%,"6,757.16","5,997.36",308.81,"27,473.25","20,413.14","33,476.48",20.2%,17.9%,0.9%,82.1%,61.0%,100%
