START_SHIFT_DATE,END_SHIFT_DATE
2026-07-01,2026-07-31

EquipmentNo2,Owner1,First_Shift_Location_Name,First_Shift_AVAILABILITY2,First_Shift_Utilization2,First_Shift_Break_Down_Hours,First_Shift_Trips1,First_Shift_Output_in_Cum2,First_Shift_Utilization_Perf_Cum2,First_Shift_Output_in_Cum_OB,First_Shift_Utilization_Perf_Cum_OB,Second_Shift_Location_Name,Second_Shift_AVAILABILITY2,Second_Shift_Utilization2,Second_Shift_Break_Down_Hours,Second_Shift_Trips1,Second_Shift_Output_in_Cum2,Second_Shift_Utilization_Perf_Cum2,Second_Shift_Output_in_Cum_OB,Second_Shift_Utilization_Perf_Cum_ob,Third_Shift_Location_Name,Third_Shift_AVAILABILITY2,Third_Shift_Utilization2,Third_Shift_Break_Down_Hours,Third_Shift_Trips1,Third_Shift_Output_in_Cum2,Third_Shift_Utilization_Perf_Cum2,Third_Shift_Output_in_Cum_OB,Third_Shift_Utilization_Perf_Cum_OB,Textbox162,Textbox163,Textbox164,Textbox43,Textbox165,Textbox2,Textbox280,Textbox281,Textbox58,Textbox61,Textbox282,Textbox283,Textbox284,Textbox285,Textbox286,Textbox287,Textbox64,Textbox67,Textbox288,Textbox289,Textbox290,Textbox291,Textbox292,Textbox293,Textbox70,Textbox97,Textbox294,Textbox295,Textbox296,Textbox297
EX001,QSE,",COAL STOCK,DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",142.73,112.39,105.27,1267,10171.55,90.50,41370.79,368.10,"DUMP,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",125.36,87.62,122.64,918,1842.55,21.03,32815.96,374.53,"DUMP,QSE-X OB1 Air strip,QSE-XOB1",153.24,123.88,94.76,1273,6426.20,51.87,44147.32,356.37,421.33,323.89,18440.30,56.93,118334.07,365.35,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX0010,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",226.70,182.66,21.30,1561,23987.10,131.32,43009.66,235.46,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",240.87,167.43,7.13,1303,22006.66,131.44,35254.68,210.56,",QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",238.39,193.08,9.61,1703,24594.36,127.38,47477.08,245.89,705.96,543.17,70588.12,129.96,125741.42,231.50,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX0011,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",234.33,150.88,13.67,2245,34529.53,228.85,63994.10,424.14,",DUMP,QSE-IV OB,QSE-VII OB 1,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,VII OB1 OB Face,Vl OB 2 QSE",227.92,141.78,20.08,1965,39818.04,280.84,53252.84,375.60,",QSE-VII OB/Coal 2,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",239.51,157.94,8.49,2263,32053.18,202.95,65571.54,415.17,701.76,450.60,106400.75,236.13,182818.48,405.72,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX005,QSE,",DUMP,QSE-IV OB,QSE-VII OB/Coal 2,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",201.62,166.40,46.38,1412,26409.49,158.71,36779.76,221.03,",DUMP,QSE-VII OB/Coal 2,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",198.00,144.47,50.00,1302,19056.00,131.90,38081.48,263.59,",DUMP,QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",206.87,163.30,41.13,1490,32379.84,198.28,37949.38,232.39,606.49,474.17,77845.33,164.17,112810.62,237.91,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX007,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",208.25,153.37,39.75,1657,32372.60,211.08,45246.92,295.02,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",206.38,141.36,41.62,1304,35388.79,250.35,30283.49,214.23,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",215.15,136.31,32.85,1361,38197.36,280.22,31577.58,231.66,629.78,431.04,105958.75,245.82,107107.99,248.49,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX008,QSE,",QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",211.29,161.65,36.71,1667,13473.64,83.35,54865.05,339.41,",QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",212.89,140.20,35.11,1528,19194.54,136.91,47806.09,340.98,",QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",229.30,173.07,18.70,1742,13124.40,75.83,58949.80,340.61,653.48,474.92,45792.58,96.42,161620.94,340.31,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09

EquipmentNo4,Owner3,First_Shift_AVAILABILITY4,First_Shift_Utilization4,First_Shift_Trips2,First_Shift_Utilization_Perf_Cum3,First_Shift_Utilization_Perf_Cum_OB1,Second_Shift_AVAILABILITY4,Second_Shift_Utilization4,Second_Shift_Trips2,Second_Shift_Utilization_Perf_Cum_coal,Second_Shift_Utilization_Perf_Cum_ob1,Third_Shift_AVAILABILITY4,Third_Shift_Utilization4,Third_Shift_Trips2,Third_Shift_Utilization_Perf_Cum3,Third_Shift_Utilization_Perf_Cum_OB1,Textbox189,Textbox190,Textbox191,Textbox192,Textbox362,Textbox363,Textbox364,Textbox365,Textbox366,Textbox367,Textbox368,Textbox369,Textbox423,Textbox371,Textbox372,Textbox373,Textbox374,Textbox375,Textbox376,Textbox404,Textbox405,Textbox406,Textbox407,Textbox408,Textbox409,Textbox410,Textbox411,Textbox412,Textbox413,Textbox414,Textbox415,Textbox416,Textbox417,Textbox418
RD121,QSE,212.20,107.04,175,62.71,19.95,216.14,114.62,206,51.18,33.42,224.26,102.39,182,54.32,32.50,652.60,324.05,563,254.08,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD122,QSE,155.97,39.78,61,31.34,31.47,152.72,38.71,72,29.73,47.05,154.58,21.19,34,40.73,28.65,463.27,99.68,167,208.97,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD123,QSE,23.70,10.45,17,80.29,3.87,30.98,11.41,28,31.40,56.73,31.97,10.91,18,76.84,5.64,86.65,32.77,63,254.77,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD126,QSE,190.29,77.22,109,87.96,7.65,182.53,74.99,110,101.13,2.15,185.82,64.93,92,104.70,0.00,558.64,217.14,311,303.59,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD132,QSE,228.26,225.45,95,12.43,7.94,215.49,215.14,93,17.82,5.56,222.90,222.51,52,4.34,5.84,666.65,663.10,240,53.93,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD136,QSE,163.12,97.89,9,4.41,0.00,154.08,86.67,10,2.21,2.46,157.59,101.60,4,0.47,1.12,474.79,286.16,23,10.67,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD141,QSE,232.89,122.48,239,90.77,14.18,224.22,88.86,175,102.07,10.88,221.34,81.48,158,113.11,3.19,678.45,292.82,572,334.20,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD143,QSE,188.02,0.00,81,0.00,0.00,183.45,0.00,123,0.00,0.00,195.95,0.00,65,0.00,0.00,567.42,0.00,269,0.00,1394.45,680.31,786,369.91,85.06,1359.61,630.40,817,335.54,158.25,1394.41,605.01,605,394.51,76.94,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD216,QSE,239.85,177.65,1,0.00,0.18,231.30,158.35,1,0.00,0.18,244.53,179.41,0,0.00,0.00,715.68,515.41,2,0.36,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD218,QSE,158.05,115.24,0,0.00,0.00,165.45,115.43,0,0.00,0.00,159.31,114.83,1,0.00,0.31,482.81,345.50,1,0.31,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD226,QSE,215.18,168.81,303,90.40,17.57,230.40,157.73,271,81.20,18.07,221.48,173.19,257,98.62,1.25,667.06,499.73,831,307.11,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD227,QSE,157.75,96.40,200,44.48,51.06,180.30,129.69,282,72.16,40.07,188.28,148.42,294,82.83,26.18,526.33,374.51,776,316.78,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD228,QSE,213.25,159.95,366,52.11,56.88,215.61,152.24,361,41.98,66.60,213.13,161.52,328,56.67,45.04,641.99,473.71,1055,319.28,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD229,QSE,190.33,148.06,390,52.15,71.88,180.12,129.16,322,49.64,70.00,183.00,133.25,338,53.20,69.56,553.45,410.47,1050,366.43,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD230,QSE,224.89,165.59,417,50.91,64.74,225.06,154.56,356,60.96,52.94,221.96,176.42,363,52.16,48.63,671.91,496.57,1136,330.34,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD231,QSE,223.94,164.53,345,27.27,57.58,223.02,151.87,359,20.28,72.97,210.70,149.55,353,18.15,76.91,657.66,465.95,1057,273.16,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
