textbox7,textbox19,textbox20,textbox22,textbox29,textbox21,textbox27,textbox26,textbox28,textbox24,textbox10,textbox11,textbox30,textbox31,textbox33,textbox32
Delay by Loading Unit and Status Code,Report Created On:,12-08-2026,Description:,Parameters:,This report contains a matrix identifying the delay and down statuses for all loading units during a specified time period.  The report is grouped by fleet.,Start Shift Date:,01-07-2026,End Shift Date:,10-07-2026,,,Fleet:,All,Loader:,All

textbox4,Textbox1,FLEET_IDENT,EQUIP_IDENT,STATUS_DESC,textbox2,Textbox42,Textbox44,Textbox13,Textbox14,Textbox37,Textbox12,Textbox15,Textbox46
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009, Down,14.89,Total,92.33,Total,83.16,274.03,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Blasting,4.85,Total,92.33,Total,17.53,274.03,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Breakdown Maintenance,,Total,92.33,Total,,274.03,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Bucket Teeth Change,,Total,92.33,Total,,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Cable Shifting,,Total,92.33,Total,,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Change Operators,0.22,Total,92.33,Total,0.22,274.03,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Clean & Remove,,Total,92.33,Total,,274.03,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Daily Service,27.85,Total,92.33,Total,35.46,274.03,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Delay At Hopper,,Total,92.33,Total,,274.03,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Fuel Filling,0.27,Total,92.33,Total,0.27,274.03,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Lightning,,Total,92.33,Total,0.00,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Marching,11.32,Total,92.33,Total,30.33,274.03,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Meeting,,Total,92.33,Total,,274.03,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Pit Closed,,Total,92.33,Total,,274.03,Total,0.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Scheduled Service,,Total,92.33,Total,,274.03,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Change,26.01,Total,92.33,Total,76.60,274.03,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Incharge Instruction,,Total,92.33,Total,,274.03,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Stuck in Mud,,Total,92.33,Total,0.08,274.03,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Tea/ Breakfast / Snacks,6.36,Total,92.33,Total,29.28,274.03,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Toilet Break,,Total,92.33,Total,0.54,274.03,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Weather,0.56,Total,92.33,Total,0.56,274.03,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010, Down,27.12,Total,91.31,Total,83.16,274.03,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Blasting,5.91,Total,91.31,Total,17.53,274.03,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Breakdown Maintenance,,Total,91.31,Total,,274.03,Total,2.27,"1,650.81"
