textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox298,textbox28,textbox18
Fuel Consumption by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,11-07-2026,End Shift Date:,20-07-2026,,,Fleet:,All,This report contains a spreadsheet of fuel consumption for a specified hauling unit in the specified time period.

Textbox5,textbox4,FLT_DESC2,NAME2,FUEL_CONSUMPTION2,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD03,"1,217.31",Total,"8,681.93",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD05,"1,013.98",Total,"8,681.93",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O01,0.00,Total,"8,681.93",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O03,"6,450.64",Total,"8,681.93",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-121,"7,568.15",Total,"9,733.55",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-122,"2,078.32",Total,"9,733.55",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-123,0.00,Total,"9,733.55",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-136,87.09,Total,"9,733.55",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-141,0.00,Total,"9,733.55",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-201,"15,793.96",Total,"3,74,102.76",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-203,"1,05,656.63",Total,"3,74,102.76",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-204,"1,30,291.66",Total,"3,74,102.76",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-205,"48,585.75",Total,"3,74,102.76",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-206,"73,774.77",Total,"3,74,102.76",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-208,"23,027.48",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-209,"44,559.85",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-210,734.83,Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-211,"17,152.42",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-214,"23,425.90",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-215,"37,507.92",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-216,0.00,Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-217,"24,457.08",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-218,"17,276.49",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-219,"29,061.95",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-220,"30,259.06",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-221,"31,348.65",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-222,0.00,Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-223,"28,837.62",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-224,"34,621.27",Total,"5,74,282.82",Grand Total,"9,66,801.05"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-225,"27,797.54",Total,"5,74,282.82",Grand Total,"9,66,801.05"
