textbox20,SHIFT_DATE,SHIFT_IDENT_SINGLE
8/12/2026,7/15/2026,2

NAME,LEVEL_START,LEVEL_END,QUANTITY,Textbox37,WORK_HOURS,TANK_VOLUME,Textbox9
EX001,"1,358",0,70,"1,428",6.1,235,"12,775"
EX005,"4,176","3,069",0,"1,107",6.7,166,"12,775"
EX009,0,0,0,0,6.1,0,"12,775"
EX012,"1,409","1,175",0,234,3.2,74,"12,775"
PL2K06,649,640,0,9,0.4,21,"12,775"
RD121,987,808,0,179,5.0,36,"12,775"
RD141,0,0,0,0,0.0,0,"12,775"
RD203,520,816,290,0,0.4,-13,"12,775"
RD204,"1,007",728,188,468,6.0,78,"12,775"
RD205,"1,055",828,293,520,4.2,124,"12,775"
RD206,"1,140",891,530,779,6.2,125,"12,775"
RD208,891,636,0,254,6.4,40,"12,775"
RD209,"1,203","1,126",58,134,1.5,92,"12,775"
RD211,"1,199",758,0,441,6.1,72,"12,775"
RD214,"1,181",908,0,273,5.9,47,"12,775"
RD215,928,762,262,429,6.8,63,"12,775"
RD216,0,0,0,0,7.0,0,"12,775"
RD217,745,792,405,358,8.0,45,"12,775"
RD218,672,869,507,311,5.5,57,"12,775"
RD219,644,880,528,292,6.4,46,"12,775"
RD220,520,888,658,291,8.0,36,"12,775"
RD221,546,814,645,377,8.0,47,"12,775"
RD222,0,0,0,0,6.1,0,"12,775"
RD223,593,856,571,308,5.5,57,"12,775"
RD224,544,805,593,332,6.3,53,"12,775"
RD225,628,770,566,423,5.2,81,"12,775"
RD226,471,990,778,259,6.6,39,"12,775"
RD228,"1,221","1,210",0,11,0.2,47,"12,775"
RD229,690,474,0,216,5.2,42,"12,775"
RD230,477,"1,096",726,107,5.0,22,"12,775"
RD232,314,856,897,355,6.5,55,"12,775"
RD233,575,"1,072","1,117",621,4.8,129,"12,775"
RD234,495,231,0,264,5.9,45,"12,775"
RD235,617,"1,112",768,273,6.3,44,"12,775"
RD243,"1,310","1,310",0,0,7.1,0,"12,775"
RD244,471,945,712,238,6.2,39,"12,775"
RD249,715,337,0,379,6.9,55,"12,775"
RD250,593,"1,091",823,325,0.0,0,"12,775"
RD251,528,"1,218",786,96,5.5,18,"12,775"
RD2KC3,700,700,0,0,0.0,0,"12,775"
RD2KC5,496,437,0,60,2.4,25,"12,775"
RDO03,636,487,0,149,3.4,44,"12,775"

