textbox20,SHIFT_DATE,SHIFT_IDENT_SINGLE
8/12/2026,7/15/2026,1

NAME,LEVEL_START,LEVEL_END,QUANTITY,Textbox37,WORK_HOURS,TANK_VOLUME,Textbox9
EX001,0,"1,358","2,512","1,154",4.4,262,"14,403"
EX005,"2,360","4,176","2,149",333,3.6,92,"14,403"
EX009,0,0,0,0,4.3,0,"14,403"
EX012,"1,398","1,409",583,572,6.6,87,"14,403"
PL2K06,666,649,228,245,4.8,51,"14,403"
RD121,"1,088",987,0,101,3.5,29,"14,403"
RD141,0,0,0,0,5.5,0,"14,403"
RD203,384,520,296,159,3.7,43,"14,403"
RD204,364,"1,007","1,451",808,5.6,143,"14,403"
RD205,907,"1,055",659,511,5.6,92,"14,403"
RD206,696,"1,140","1,086",641,5.8,111,"14,403"
RD208,370,891,745,225,5.7,39,"14,403"
RD209,452,907,461,5,0.3,22,"14,403"
RD211,650,"1,199",904,355,6.0,59,"14,403"
RD214,736,"1,181",692,248,4.8,52,"14,403"
RD215,408,762,864,509,6.7,77,"14,403"
RD216,0,0,0,0,6.8,0,"14,403"
RD217,658,745,445,359,8.0,45,"14,403"
RD218,"1,019",672,0,347,6.3,55,"14,403"
RD219,930,644,0,286,5.0,57,"14,403"
RD220,892,521,0,370,8.0,46,"14,403"
RD221,512,546,420,386,8.0,48,"14,403"
RD222,0,0,0,0,5.9,0,"14,403"
RD223,939,592,16,362,6.3,57,"14,403"
RD224,941,544,162,558,6.1,91,"14,403"
RD225,692,628,241,305,5.6,55,"14,403"
RD226,710,471,0,240,5.6,43,"14,403"
RD228,"1,254","1,221",0,33,0.5,71,"14,403"
RD229,916,690,0,225,5.6,40,"14,403"
RD230,815,477,0,338,7.0,48,"14,403"
RD232,527,314,0,213,5.8,37,"14,403"
RD233,959,575,0,384,6.7,58,"14,403"
RD234,839,495,0,344,6.3,55,"14,403"
RD235,953,617,0,335,5.7,59,"14,403"
RD243,"1,310","1,310",0,0,6.3,0,"14,403"
RD244,723,471,0,252,6.1,41,"14,403"
RD249,999,715,0,284,5.6,51,"14,403"
RD250,757,593,0,164,0.0,0,"14,403"
RD251,853,528,0,325,5.6,59,"14,403"
RD253,775,769,0,5,0.2,29,"14,403"
RD2KC3,644,700,200,145,0.0,0,"14,403"
RD2KC5,500,496,0,3,0.2,21,"14,403"
RDO03,460,636,290,114,4.4,26,"14,403"

