textbox1,textbox19,textbox20,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox8,textbox9,textbox18,Textbox2,Textbox3
Productivity TKPH-TMPH by Fleet and Hauling Unit,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,This report contains a spreadsheet showing the productivity of each hauling unit for the specified time period.  This report is grouped by fleet.,¹ Includes all time spent in statuses assigned to the [Truck Speed Productivity] status category.,* ( Quantity * (Empty Distance + Haul Distance) ) / Total Travel Time

FLEET_IDENT,Textbox39,Textbox40,Textbox41,Textbox42,Textbox11,Textbox34,Textbox47,EQUIP_IDENT,Textbox169,NUM_OF_LOADS,HAUL_DISTANCE,EMPTY_DISTANCE,Textbox6,Textbox7,QUANTITY_REPORTING,NUM_OF_LOADS1,HAUL_DISTANCE1,Textbox29,Textbox45,Textbox52
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD208,"83,832.35","1,009","1,730.67","2,580.68",475.53,"7,60,050.58","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD209,"92,917.95","1,089","1,906.43","2,667.27",478.58,"8,87,998.14","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD210,"31,630.95",392,596.54,851.06,170.06,"2,69,250.21","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD211,"76,666.75",909,"1,589.79","2,264.90",440.22,"6,71,313.82","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD212,"81,847.30","1,012","1,763.42","2,470.84",458.44,"7,55,953.95","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD214,"47,502.35",581,"1,085.59","1,569.67",295.49,"4,26,856.15","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD215,"90,198.45","1,075","1,855.01","2,686.25",491.51,"8,33,388.22","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD216,"91,118.00","1,146","2,138.11","2,030.22",541.88,"7,00,917.38","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD217,"89,893.90","1,063","1,906.81","2,720.33",498.62,"8,34,203.13","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD218,"58,088.85",705,"1,263.98","1,861.42",348.57,"5,20,850.49","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
