textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox27,textbox297,textbox298,textbox28,textbox18
Status and Sub-Status by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,All,Status Category:,Fleet:,All,This report contains a spreadsheet of all the statuses that the specified hauling unit was in during the specified time period.

Textbox3,Textbox38,Textbox40,Textbox42,textbox4,FLT_DESC1,NAME,STATUSCAT_DESCRIP,STATUS_DESC,SUB_STATUS_DESC,DURATION1,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Delay,D03 - Delay At Hopper,,3.91,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Delay,S19 - Tea/ Breakfast / Snacks,,46.30,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Delay,S20 - Shift Change,,72.25,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Delay,S25 - Toilet Break,,0.65,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Delay,S31 - Fuel Filling,,0.03,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Down,O01 -  Down,,427.89,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Down,O03 - Daily Service,,0.24,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N00 - Wait At Dump,,16.05,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N01 - Truck Loading,,27.85,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N02 - Wait At LU,,0.00,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N03 - Empty,,48.89,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N03 - Empty,N031 - Empty Stopped,25.82,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N04 - Hauling,,36.13,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N04 - Hauling,N041 - Hauling Stopped,2.42,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N05 - Spot at LU,,0.77,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N06 - Queue At LU,,4.31,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Net Operating,N07 - Dumping,,3.16,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD01,Standby,S03 - Schedule No Work,,26.73,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Delay,D03 - Delay At Hopper,,5.49,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Delay,S19 - Tea/ Breakfast / Snacks,,33.91,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Delay,S20 - Shift Change,,52.81,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Delay,S25 - Toilet Break,,0.45,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Delay,S31 - Fuel Filling,,0.06,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Down,O01 -  Down,,488.40,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Down,O03 - Daily Service,,1.01,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N00 - Wait At Dump,,16.37,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N01 - Truck Loading,,17.72,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N02 - Wait At LU,,0.13,Total,7435.22,Grand Total,51923.57
